dataset,feature,n,pooled_r,within_study_r,sign_reversal,n_studies_testable,n_studies_agreeing_with_within
ATF_surface,Ra_um,58,-0.29326564779514624,0.4392614518553512,True,5,5
ATF_surface,CA_deg,62,-0.7735858352775294,-0.3321446394762893,False,6,5
pin_fin,Ra_um,175,0.15611693014774974,0.4661976120645806,False,13,13
pin_fin,Porosity,175,0.4555526464534361,0.6705037794251684,False,7,7
pin_fin,Coverage,175,0.45488329404303013,0.6755904317494791,False,4,4
pin_fin,Subcooling(K),175,-0.09222071974064351,0.536612413104091,True,6,6
pin_fin,Height(um),175,0.15467434293472548,0.399986605822524,False,10,10
pin_fin,Spacing(um),175,0.041035151121513784,0.11462900335245702,False,9,9
NRC_flow,D_m,24443,-0.09288813726999044,-0.23307973809219076,False,19,13
NRC_flow,L_m,24443,-0.6333112205933905,-0.6727558869058848,False,37,34
NRC_flow,P_kPa,24443,-0.22806938730917087,-0.2773261068422882,False,49,27
NRC_flow,G_kg_m2s,24443,0.45930898217455196,0.4656438887301403,False,57,55
NRC_flow,X,24443,-0.5897120721352843,-0.6510148453249789,False,57,56
NRC_flow,dHin_sub_kJkg,24443,0.24774402055991787,0.25548840831049174,False,58,50
NRC_flow,Tin_C,24443,-0.29224780068724177,-0.3742705041515895,False,58,46
